epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
0,5.705033016204834,0.0026041666666666665,0.016145833333333335,5.70063328742981,0.004464285714285714,0.013392857142857142
1,5.693331607182821,0.00625,0.03414351851851852,5.682390996388027,0.008928571428571428,0.03809523809523809
2,5.5779697815577185,0.009895833333333333,0.05260416666666667,5.468527044568743,0.013690476190476189,0.045089285714285714
3,5.25380220413208,0.023958333333333335,0.07447916666666667,5.207513162067959,0.022321428571428572,0.09449404761904763
4,5.019162996610006,0.029166666666666667,0.11145833333333334,5.095252513885498,0.03363095238095238,0.12113095238095238
5,4.848473938306173,0.04351851851851852,0.1708912037037037,4.8977664198194235,0.06502976190476191,0.17916666666666667
6,4.65550467967987,0.06666666666666667,0.21961805555555555,4.810852425439017,0.058333333333333334,0.19553571428571428
7,4.530760542551676,0.08125,0.24456018518518519,4.759110042027065,0.06726190476190476,0.18839285714285717
8,4.355201288064321,0.10607638888888889,0.2949074074074074,4.6560737405504495,0.06964285714285715,0.22961309523809526
9,4.202733373641967,0.1302662037037037,0.3537037037037037,4.610666036605835,0.06949404761904762,0.24895833333333334
10,4.059173770745596,0.16799768518518518,0.41001157407407407,4.5667775358472555,0.08333333333333334,0.2648809523809524
11,3.890792453289032,0.19039351851851852,0.4472222222222222,4.512380599975586,0.10535714285714286,0.3007440476190476
12,3.724050442377726,0.24560185185185185,0.5013888888888889,4.50432995387486,0.10744047619047618,0.28288690476190476
13,3.5785279115041098,0.2732060185185185,0.5365740740740741,4.395256655556815,0.1455357142857143,0.3474702380952381
14,3.4449313044548036,0.3162037037037037,0.5743055555555556,4.35715617452349,0.14107142857142857,0.3522321428571429
15,3.321234977245331,0.35474537037037035,0.6056134259259259,4.4020640168871195,0.14761904761904762,0.32306547619047615
16,3.19705118338267,0.40717592592592594,0.633738425925926,4.3303462607519965,0.15461309523809524,0.35461309523809526
17,3.0333699703216555,0.462037037037037,0.6582175925925926,4.361980404172625,0.1724702380952381,0.35000000000000003
18,2.965194551150004,0.49126157407407406,0.669675925925926,4.311588627951486,0.17946428571428572,0.3636904761904762
19,2.8639032363891603,0.5292824074074074,0.6762152777777778,4.293919018336704,0.18407738095238096,0.3794642857142857
20,2.7876975337664285,0.5592013888888889,0.6831597222222222,4.293015769549778,0.2087797619047619,0.38377976190476193
21,2.714875853061676,0.5863425925925926,0.6939236111111111,4.263381242752075,0.1973214285714286,0.3833333333333333
22,2.626742007335027,0.6152777777777777,0.692650462962963,4.284308910369873,0.19285714285714287,0.3791666666666667
23,2.6005389233430227,0.6241319444444444,0.6913194444444444,4.279248305729458,0.19062500000000002,0.3703869047619048
24,2.511638500293096,0.6471064814814814,0.6997106481481481,4.29264896256583,0.1863095238095238,0.3790178571428572
25,2.490248380104701,0.6574652777777777,0.7017361111111111,4.257547497749329,0.20639880952380954,0.3748511904761905
26,2.458661691347758,0.6582175925925926,0.693113425925926,4.289772289139884,0.19538690476190476,0.3769345238095238
27,2.416485857963562,0.6650462962962963,0.705150462962963,4.2811518907547,0.2019345238095238,0.37440476190476185
28,2.4208527823289234,0.6670717592592593,0.6936342592592593,4.253539511135647,0.19062500000000002,0.3791666666666667
29,2.39927640358607,0.6694444444444444,0.6991319444444444,4.263444321496146,0.19955357142857144,0.3791666666666667
30,2.3646222770214083,0.6733796296296296,0.700462962962963,4.251363413674491,0.20163690476190474,0.36562500000000003
31,2.3489853143692017,0.6749421296296296,0.703587962962963,4.240253363336835,0.21071428571428572,0.3949404761904762
32,2.3350456138451894,0.6759837962962963,0.703587962962963,4.249959026064191,0.20848214285714287,0.3949404761904762
33,2.3234423120816547,0.6791087962962963,0.7103587962962963,4.254185914993286,0.20610119047619047,0.3904761904761905
34,2.3150550782680512,0.6780671296296297,0.7041087962962963,4.2461719172341486,0.1994047619047619,0.3726190476190476
35,2.3009088138739267,0.6804398148148147,0.7075231481481481,4.2313346522195,0.20833333333333331,0.3790178571428572
36,2.291857721408208,0.6845486111111111,0.7079861111111111,4.225784574236188,0.21101190476190476,0.3925595238095238
37,2.2965842286745706,0.679050925925926,0.7069444444444444,4.246545144489834,0.20639880952380954,0.3861607142857143
38,2.301841332515081,0.6745949074074074,0.7035300925925926,4.2446785654340475,0.19508928571428572,0.3751488095238095
39,2.2766754289468127,0.6820023148148148,0.7106481481481481,4.239835602896554,0.21785714285714283,0.3950892857142857
40,2.2705691615740458,0.6811921296296296,0.7087962962962963,4.2587746892656595,0.19955357142857144,0.38586309523809526
41,2.2686751663684843,0.6832754629629629,0.7087962962962963,4.232657875333514,0.2129464285714286,0.3904761904761905
42,2.286892495552699,0.6763888888888889,0.701388888888889,4.222917403493609,0.21979166666666666,0.38392857142857145
43,2.257223226626714,0.6822337962962963,0.7072337962962963,4.256276181765965,0.2019345238095238,0.38586309523809526
44,2.2628485560417175,0.6835069444444444,0.7116319444444444,4.240820118359157,0.20163690476190474,0.39032738095238095
45,2.2604966799418134,0.6793402777777777,0.7079861111111111,4.245145371982029,0.19508928571428572,0.3742559523809524
46,2.251315728823344,0.681712962962963,0.7072337962962963,4.262382473264422,0.19955357142857144,0.37440476190476185
47,2.2531361321608228,0.6824652777777778,0.7124421296296296,4.2486355475017,0.1994047619047619,0.3815476190476191
48,2.2676463504632314,0.6789930555555556,0.7050347222222223,4.257559725216457,0.21532738095238096,0.38377976190476193
49,2.250034205118815,0.6816550925925926,0.708738425925926,4.257492286818368,0.20848214285714287,0.3880952380952381
50,2.237095449368159,0.6827546296296296,0.7124421296296296,4.260709762573242,0.21086309523809524,0.37470238095238095
51,2.2466361105442045,0.6809027777777777,0.7116319444444444,4.2600414752960205,0.21071428571428572,0.3860119047619048
52,2.2560669521490735,0.678761574074074,0.7084490740740741,4.273518426077707,0.20639880952380954,0.3947916666666667
53,2.246097004413605,0.6860532407407407,0.7092592592592593,4.258465000561306,0.2130952380952381,0.38586309523809526
54,2.239311045408249,0.679861111111111,0.7087962962962963,4.255089810916355,0.2175595238095238,0.3860119047619048
55,2.238426246245702,0.6847800925925926,0.7113425925925926,4.262050901140485,0.2086309523809524,0.390625
56,2.2411826570828755,0.6792824074074074,0.7113425925925926,4.255830407142639,0.21770833333333334,0.38839285714285715
57,2.2395103057225545,0.680324074074074,0.7110532407407407,4.277878420693534,0.21532738095238096,0.38139880952380956
58,2.2238992055257163,0.6845486111111111,0.7131944444444444,4.271385175841195,0.21785714285714283,0.3791666666666667
59,2.2171487768491107,0.6861689814814814,0.7168981481481481,4.272262522152492,0.21562499999999998,0.38392857142857145
